filename,sparse,contiguous,circular,linear,parallel,serial,vertical,horizontal,tracks_elements,point,line,area,bar,rect,text,rule,brush,link,triangle,quantitative,nominal,genomic,nominal_row,d2_size,default_size,d2_color,default_color,d2_text,default_text,stack,overlay,views_elements,visibility,linkingId
two_by_two_p_4_m_11_sw_1_0_s_1_0.json,0,4,0,6,0,2,1,0,4,2,1,1,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,6,0,0
multi_view_link_p_0_m_12_sw_2_0_s_1_0.json,0,3,1,2,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,0,4,0,0
single_cell_epi_simple_p_0_m_18_sw_0_7_s_0_7.json,3,7,0,2,0,0,1,0,14,0,2,4,1,2,0,1,0,1,1,1,0,0,1,0,0,3,8,0,0,0,2,2,0,0
two_horizontal_m_9_sw_1_2_s_1_2.json,0,2,0,4,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,0
basic_two_horizontal_orient_m_6_sw_1_0_s_1_0.json,0,2,0,2,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0
two_by_two_p_1_m_4_sw_1_0_s_1_0.json,0,4,0,6,0,2,1,0,4,2,1,1,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,6,0,0
basic_two_horizontal_p_1_m_2_sw_0_7_s_1_2.json,0,2,0,4,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,0
multi_view_link_p_0_m_0_sw_2_0_s_0_5.json,0,3,1,2,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,0,4,0,0
two_by_two_p_1_m_22_sw_1_0_s_1_0.json,0,4,0,6,0,2,1,0,4,0,2,2,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,6,0,0
two_by_two_p_3_m_7_sw_1_2_s_1_0.json,0,4,0,6,0,2,1,0,4,0,1,0,3,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,6,0,0
single_cell_epi_simple_p_0_m_21_sw_0_7_s_0_5.json,3,7,0,2,0,0,1,0,14,1,1,4,1,2,0,1,0,1,1,1,0,0,1,0,0,3,8,0,0,0,2,2,0,0
