identifier,data_label,layout_label,arrangement_label,mark_label,alignment_label,orientation_label
two_by_two_p_4_m_11_sw_1_0_s_1_0,contiguous,linear,serial_vertical,multi_marks,stack,horizontal_orientation
multi_view_link_p_0_m_12_sw_2_0_s_1_0,contiguous,multi_layout,horizontal_vertical,line_point,stack,horizontal_orientation
single_cell_epi_simple_p_0_m_18_sw_0_7_s_0_7,multi_data_types,linear,vertical,multi_marks,overlay,horizontal_orientation
two_horizontal_m_9_sw_1_2_s_1_2,contiguous,linear,serial,area_line,stack,horizontal_orientation
basic_two_horizontal_orient_m_6_sw_1_0_s_1_0,contiguous,linear,no_arrangements,area_line,stack,vertical_orientation
two_by_two_p_1_m_4_sw_1_0_s_1_0,contiguous,linear,serial_vertical,multi_marks,stack,horizontal_orientation
basic_two_horizontal_p_1_m_2_sw_0_7_s_1_2,contiguous,linear,serial,area_point,stack,horizontal_orientation
multi_view_link_p_0_m_0_sw_2_0_s_0_5,contiguous,multi_layout,horizontal_vertical,line_point,stack,horizontal_orientation
two_by_two_p_1_m_22_sw_1_0_s_1_0,contiguous,linear,serial_vertical,area_line,stack,horizontal_orientation
two_by_two_p_3_m_7_sw_1_2_s_1_0,contiguous,linear,serial_vertical,bar_line,stack,horizontal_orientation
single_cell_epi_simple_p_0_m_21_sw_0_7_s_0_5,multi_data_types,linear,vertical,multi_marks,overlay,horizontal_orientation
single_cell_epi_p_0_m_19_sw_1_0_s_1_0,multi_data_types,linear,vertical,multi_marks,overlay,horizontal_orientation
multi_view_link_p_0_m_11_sw_1_0_s_2_0,contiguous,multi_layout,horizontal_vertical,multi_marks,stack,horizontal_orientation
three_composite_v_m_17_sw_0_7_s_1_2,contiguous,linear,serial_vertical,multi_marks,stack,horizontal_orientation
basic_two_horizontal_orient_m_5_sw_2_0_s_2_0,contiguous,linear,no_arrangements,line,stack,vertical_orientation
two_by_two_sq_uneven_h_p_3_sw_1_2_s_0_7,contiguous,linear,serial_vertical,multi_marks,stack,horizontal_orientation
multiple_view_p_3_m_18_sw_1_0_s_1_2,contiguous,multi_layout,horizontal_vertical,multi_marks,overlay,horizontal_orientation
basic_two_horizontal_p_0_m_8_sw_0_7_s_1_2,contiguous,linear,serial,area_point,stack,horizontal_orientation
two_by_two_uneven_w_m_15_sw_2_0_s_1_2,contiguous,linear,serial_vertical,area_point,stack,horizontal_orientation
two_by_two_p_4_m_9_sw_1_0_s_1_0,contiguous,linear,serial_vertical,multi_marks,stack,horizontal_orientation
heatmap_sw_1_2_s_1_2,contiguous,linear,no_arrangements,rect,stack,horizontal_orientation
two_horizontal_m_10_sw_2_0_s_0_7,contiguous,linear,serial,area,stack,horizontal_orientation
basic_two_horizontal_orient_m_0_sw_1_2_s_0_5,contiguous,linear,no_arrangements,point,stack,vertical_orientation
single_cell_epi_p_0_m_20_sw_1_0_s_1_2,multi_data_types,linear,vertical,multi_marks,overlay,horizontal_orientation
